,Sybil,id,join_date,num_comment,num_comment_on_own_post,num_friend,num_join_group,num_like_on_own_post,num_own_post,num_post_on_wall,num_reaction,num_share_on_own_post,num_tagged_post,num_used_tags,num_used_tags_commnet,num_user_tags,num_user_tags_comment,is_train
0,1,1364755875,2001-01-01,206.0,39.0,7.0,55.0,1.0,404.0,389.0,1780.0,88.0,1869.0,641.0,,1903.0,,TRUE
1,0,100000301193027,,57.0,70.0,0.0,1.0,38.0,40.0,41.0,286.0,1.0,16.0,11.0,1.0,21.0,4.0,TRUE
2,0,100000680213088,2001-01-01,44.0,2.0,12.0,83.0,2.0,3.0,3.0,622.0,1.0,392.0,1.0,,829.0,4.0,TRUE
3,1,100011206983282,2001-01-01,26.0,1.0,2.0,85.0,1.0,30.0,2.0,551.0,2.0,39.0,1.0,,62.0,,FALSE
4,0,100005515091928,2001-01-01,47.0,16.0,6.0,56.0,2.0,95.0,95.0,165.0,2.0,42.0,10.0,7.0,44.0,2.0,TRUE
5,0,100005364695867,2001-01-01,68.0,9.0,0.0,22.0,2.0,2.0,2.0,696.0,1.0,43.0,1.0,,68.0,9.0,TRUE
6,1,100007802711801,2001-01-01,111.0,2.0,0.0,46.0,7.0,232.0,219.0,434.0,7.0,134.0,131.0,,177.0,3.0,TRUE
7,1,100011794572755,,29.0,1.0,6.0,4.0,2.0,219.0,218.0,136.0,2.0,87.0,120.0,,91.0,,TRUE
8,0,100002639575199,2001-01-01,47.0,23.0,5.0,21.0,2.0,10.0,20.0,602.0,6.0,307.0,50.0,1.0,333.0,25.0,TRUE
9,0,1499543801,,140.0,48.0,1.0,31.0,277.0,1040.0,960.0,91.0,4.0,924.0,2213.0,76.0,924.0,,TRUE
10,1,100008904824322,2001-01-01,10.0,9.0,9.0,26.0,16.0,137.0,125.0,2364.0,4.0,61.0,47.0,6.0,105.0,,TRUE
11,0,100006494957085,2001-01-01,234.0,191.0,19.0,23.0,499.0,669.0,653.0,1707.0,71.0,698.0,1082.0,4.0,993.0,10.0,TRUE
12,1,100000081553619,2001-01-01,339.0,11675.0,9.0,159.0,4603.0,4854.0,4834.0,865.0,61885.0,22831.0,3170.0,119.0,25887.0,115.0,FALSE
13,0,100005864769421,2001-01-01,991.0,157.0,1.0,319.0,134.0,335.0,334.0,1062.0,101.0,181.0,55.0,,291.0,28.0,TRUE
14,0,100001146552939,2001-01-01,32.0,13.0,0.0,252.0,2.0,3.0,8.0,10.0,6.0,60.0,54.0,,91.0,8.0,TRUE
15,0,100004534171585,2001-01-01,183.0,119.0,0.0,32.0,173.0,299.0,299.0,195.0,13.0,2.0,1097.0,,2.0,,TRUE
16,1,100007079670947,,141.0,125.0,0.0,13.0,929.0,1062.0,1062.0,851.0,6.0,631.0,637.0,,631.0,,TRUE
17,1,100010553053055,,803.0,2.0,4.0,2.0,134.0,1013.0,1013.0,285.0,25.0,25.0,891.0,,25.0,,FALSE
18,0,1658577959,2001-01-01,149.0,18.0,2.0,56.0,2.0,9.0,3.0,1492.0,8.0,83.0,81.0,2.0,101.0,7.0,TRUE
19,0,100001900585471,,1325.0,567.0,1.0,20.0,1075.0,1099.0,1053.0,2028.0,339.0,986.0,1595.0,9.0,988.0,4.0,TRUE
20,0,100009640173834,2001-01-01,137.0,27.0,18.0,54.0,5.0,83.0,83.0,353.0,2.0,187.0,1117.0,46.0,232.0,13.0,TRUE
21,1,100009324800566,2001-01-01,40.0,2.0,1.0,38.0,5.0,5.0,5.0,233.0,1.0,21.0,5.0,,34.0,,FALSE
22,0,637244147,2001-01-01,289.0,111.0,0.0,31.0,63.0,78.0,70.0,1517.0,5.0,81.0,146.0,23.0,81.0,,TRUE
23,1,100000200774466,2001-01-01,499.0,8.0,0.0,59.0,22.0,604.0,602.0,1574.0,6.0,380.0,242.0,3.0,447.0,3.0,TRUE
24,0,100008207987469,2001-01-01,64.0,19.0,0.0,167.0,93.0,301.0,241.0,469.0,2.0,212.0,486.0,,212.0,,FALSE
25,0,100000695123978,2001-01-01,230.0,13.0,0.0,209.0,9.0,10.0,10.0,508.0,1.0,28.0,9.0,,28.0,1.0,TRUE
26,0,100006817334481,,471.0,270.0,3.0,69.0,377.0,403.0,396.0,516.0,124.0,430.0,670.0,1.0,436.0,2.0,TRUE
27,0,100004186387611,2001-01-01,112.0,4.0,4.0,81.0,2.0,6.0,6.0,252.0,1.0,12.0,1.0,,20.0,28.0,TRUE
28,0,1515489879,2001-01-01,5.0,1.0,1.0,1.0,1.0,10.0,10.0,6.0,1.0,10.0,16.0,,12.0,2.0,TRUE
29,0,100003706377250,2001-01-01,71.0,22.0,21.0,48.0,3.0,39.0,30.0,3045.0,37.0,95.0,30.0,4.0,103.0,6.0,FALSE
30,0,100001266911495,2001-01-01,414.0,158.0,0.0,4.0,69.0,79.0,79.0,15.0,11.0,26.0,48.0,,26.0,,FALSE
31,0,100000438894571,2001-01-01,61.0,9.0,0.0,277.0,3.0,30.0,28.0,114.0,1.0,58.0,34.0,14.0,61.0,1.0,TRUE
32,0,100004500488697,2001-01-01,14.0,3.0,11.0,33.0,1.0,15.0,15.0,6.0,1.0,12.0,,,13.0,,TRUE
33,0,100010519024151,2001-01-01,37.0,11.0,16.0,89.0,3.0,28.0,28.0,1187.0,3.0,514.0,142.0,1.0,767.0,18.0,TRUE
34,0,100004941557267,2001-01-01,11.0,2.0,31.0,26.0,1.0,54.0,53.0,217.0,5.0,245.0,39.0,,740.0,,TRUE
35,0,100005287926452,2001-01-01,524.0,13.0,1.0,31.0,62.0,80.0,80.0,403.0,6.0,4.0,33.0,,4.0,,FALSE
